question_id,question,chunk_id,title,primary_category,abstract_preview,relevance
0,How does the Black-Scholes model price European options?,2511.05519v1_c0,An uncertainty-aware physics-informed neural network solution for the Black-Scholes equation: a novel framework for option pricing,q-fin.CP,"Title: An uncertainty-aware physics-informed neural network solution for the Black-Scholes equation: a novel framework for option pricing  Abstract: We present an uncertainty-aware, physics-informed neural network (PINN) for option pricing that solves the Black--Scholes (BS) partial differential equ",1
0,How does the Black-Scholes model price European options?,2601.00009v2_c0,Full grid solution for multi-asset options pricing with tensor networks,q-fin.CP,Title: Full grid solution for multi-asset options pricing with tensor networks  Abstract: Pricing multi-asset options via the Black-Scholes PDE is limited by the curse of dimensionality: classical full-grid solvers scale exponentially in the number of underlyings and are effectively restricted to th,1
0,How does the Black-Scholes model price European options?,2601.00293v1_c0,Option Pricing beyond Black-Scholes Model:Quantum Mechanics Approach,q-fin.RM,"Title: Option Pricing beyond Black-Scholes Model:Quantum Mechanics Approach  Abstract: Based on the analog between the stochastic dynamics and quantum harmonic oscillator, we propose a market force driving model to generalize the Black-Scholes model in finance market. We give new schemes of option p",1
0,How does the Black-Scholes model price European options?,2602.00201v1_c0,Numerical Simulations for Time-Fractional Black-Scholes Equations,q-fin.CP,Title: Numerical Simulations for Time-Fractional Black-Scholes Equations  Abstract: This paper implements an efficient numerical algorithm for the time-fractional Black-Scholes model governing European options. The proposed method comprises the Crank-Nicolson approach to discretize the time variable,1
0,How does the Black-Scholes model price European options?,2603.28948v1_c0,Scaling Limits for Exponential Hedging in Trinomial Models,q-fin.MF,"Title: Scaling Limits for Exponential Hedging in Trinomial Models  Abstract: We study scaled trinomial models converging to the Black--Scholes model, and analyze exponential certainty-equivalent prices for path-dependent European options. As the number of trading dates $n$ tends to infinity and the ",1
0,How does the Black-Scholes model price European options?,2604.06068v1_c0,"Beyond Black-Scholes: A Computational Framework for Option Pricing Using Heston, GARCH, and Jump Diffusion Models",q-fin.CP,"Title: Beyond Black-Scholes: A Computational Framework for Option Pricing Using Heston, GARCH, and Jump Diffusion Models  Abstract: This research addresses accurate option pricing by employing models beyond the traditional Black-Scholes framework. While Black-Scholes provides a closed-form solution,",1
10,How does mean-variance optimization construct optimal portfolios?,2504.08843v2_c0,End-to-End Portfolio Optimization with Quantum Annealing,quant-ph,Title: End-to-End Portfolio Optimization with Quantum Annealing  Abstract: Hybrid-quantum classical optimization has emerged as a promising direction for addressing financial decision problems under current quantum hardware constraints. In this work we present a practical end-to-end portfolio optimi,0
10,How does mean-variance optimization construct optimal portfolios?,2505.10099v1_c0,A Scalable Gradient-Based Optimization Framework for Sparse Minimum-Variance Portfolio Selection,stat.ML,"Title: A Scalable Gradient-Based Optimization Framework for Sparse Minimum-Variance Portfolio Selection  Abstract: Portfolio optimization involves selecting asset weights to minimize a risk-reward objective, such as the portfolio variance in the classical minimum-variance framework. Sparse portfolio",1
10,How does mean-variance optimization construct optimal portfolios?,2507.01918v3_c0,End-to-End Large Portfolio Optimization for Variance Minimization with Neural Networks through Covariance Cleaning,q-fin.PM,Title: End-to-End Large Portfolio Optimization for Variance Minimization with Neural Networks through Covariance Cleaning  Abstract: We develop a rotation-invariant neural network that provides the global minimum-variance portfolio by jointly learning how to lag-transform historical returns and marg,1
10,How does mean-variance optimization construct optimal portfolios?,2507.04208v1_c0,Behavioral Probability Weighting and Portfolio Optimization under Semi-Heavy Tails,econ.GN,Title: Behavioral Probability Weighting and Portfolio Optimization under Semi-Heavy Tails  Abstract: This paper develops a unified framework that integrates behavioral distortions into rational portfolio optimization by extracting implied probability weighting functions (PWFs) from optimal portfolio,0
10,How does mean-variance optimization construct optimal portfolios?,2507.19824v1_c0,Optimal mean-variance portfolio selection under regime-switching-induced stock price shocks,q-fin.PM,"Title: Optimal mean-variance portfolio selection under regime-switching-induced stock price shocks  Abstract: In this paper, we investigate mean-variance (MV) portfolio selection problems with jumps in a regime-switching financial model. The novelty of our approach lies in allowing not only the mark",1
10,How does mean-variance optimization construct optimal portfolios?,2508.01138v1_c0,Two Stochastic Control Methods for Mean-Variance Portfolio Selection of Jump Diffusions and Their Relationship,q-fin.PM,Title: Two Stochastic Control Methods for Mean-Variance Portfolio Selection of Jump Diffusions and Their Relationship  Abstract: This paper is concerned with the maximum principle and dynamic programming principle for mean-variance portfolio selection of jump diffusions and their relationship. First,1
10,How does mean-variance optimization construct optimal portfolios?,2508.03704v1_c0,Novel Risk Measures for Portfolio Optimization Using Equal-Correlation Portfolio Strategy,q-fin.PM,"Title: Novel Risk Measures for Portfolio Optimization Using Equal-Correlation Portfolio Strategy  Abstract: Portfolio optimization has long been dominated by covariance-based strategies, such as the Markowitz Mean-Variance framework. However, these approaches often fail to ensure a balanced risk str",1
10,How does mean-variance optimization construct optimal portfolios?,2510.07180v1_c0,Bayesian Portfolio Optimization by Predictive Synthesis,econ.EM,"Title: Bayesian Portfolio Optimization by Predictive Synthesis  Abstract: Portfolio optimization is a critical task in investment. Most existing portfolio optimization methods require information on the distribution of returns of the assets that make up the portfolio. However, such distribution info",1
10,How does mean-variance optimization construct optimal portfolios?,2511.05270v1_c0,Competitive optimal portfolio selection under mean-variance criterion,math.OC,"Title: Competitive optimal portfolio selection under mean-variance criterion  Abstract: We investigate a portfolio selection problem involving multi competitive agents, each exhibiting mean-variance preferences. Unlike classical models, each agent's utility is determined by their relative wealth com",1
10,How does mean-variance optimization construct optimal portfolios?,2512.09224v1_c0,Exploratory Mean-Variance with Jumps: An Equilibrium Approach,q-fin.PM,"Title: Exploratory Mean-Variance with Jumps: An Equilibrium Approach  Abstract: Revisiting the continuous-time Mean-Variance (MV) Portfolio Optimization problem, we model the market dynamics with a jump-diffusion process and apply Reinforcement Learning (RL) techniques to facilitate informed explora",1
10,How does mean-variance optimization construct optimal portfolios?,2601.06271v1_c0,A Three--Dimensional Efficient Surface for Portfolio Optimization,q-fin.PM,"Title: A Three--Dimensional Efficient Surface for Portfolio Optimization  Abstract: The classical mean-variance framework characterizes portfolio risk solely through return variance and the covariance matrix, implicitly assuming that all relevant sources of risk are captured by second moments. In mo",1
10,How does mean-variance optimization construct optimal portfolios?,2601.07991v2_c0,Optimal Option Portfolios for Skew-Elliptical t Returns,q-fin.PM,Title: Optimal Option Portfolios for Skew-Elliptical t Returns  Abstract: This paper explores option portfolio optimization when the underlying returns are skew-elliptical t-distributed. We use the variance and value at risk (VaR) to measure portfolio risk. The novelty of our work is the departure f,0
10,How does mean-variance optimization construct optimal portfolios?,2601.20643v1_c0,Shrinkage Estimators for Mean and Covariance: Evidence on Portfolio Efficiency Across Market Dimensions,q-fin.PM,"Title: Shrinkage Estimators for Mean and Covariance: Evidence on Portfolio Efficiency Across Market Dimensions  Abstract: The mean-variance model remains the most prevalent investment framework, built on diversification principles. However, it consistently struggles with estimation errors in expecte",1
10,How does mean-variance optimization construct optimal portfolios?,2602.03325v1_c0,A Novel approach to portfolio construction,q-fin.PM,"Title: A Novel approach to portfolio construction  Abstract: This paper proposes a machine learning-based framework for asset selection and portfolio construction, termed the Best-Path Algorithm Sparse Graphical Model (BPASGM). The method extends the Best-Path Algorithm (BPA) by mapping linear and n",0
10,How does mean-variance optimization construct optimal portfolios?,2602.16862v2_c0,Entropy Regularization under Bayesian Drift Uncertainty,math.OC,"Title: Entropy Regularization under Bayesian Drift Uncertainty  Abstract: We study entropy-regularized mean-variance portfolio optimization under Bayesian drift uncertainty. Gaussian policies remain optimal under partial information, the value function is quadratic in wealth, and belief-dependent co",1
10,How does mean-variance optimization construct optimal portfolios?,2604.01300v1_c0,On the mean-variance problem through the lens of multivariate fake stationary affine Volterra dynamics,math.OC,Title: On the mean-variance problem through the lens of multivariate fake stationary affine Volterra,0
10,How does mean-variance optimization construct optimal portfolios?,2604.11143v1_c0,Temperature Anomalies and Climate Physical Risk in Portfolio Construction,q-fin.PM,"Title: Temperature Anomalies and Climate Physical Risk in Portfolio Construction  Abstract: Driven by the increasing frequency and intensity of natural disasters and chronic climate threats, we investigate the impact of physical climate risk on global equity portfolios. By employing a panel regressi",0
11,What is the Black-Litterman model and what problem does it solve?,2504.14345v2_c0,LLM-Enhanced Black-Litterman Portfolio Optimization,q-fin.PM,"Title: LLM-Enhanced Black-Litterman Portfolio Optimization  Abstract: The Black-Litterman model addresses the sensitivity issues of tra- ditional mean-variance optimization by incorporating investor views, but systematically generating these views remains a key challenge. This study proposes and val",1
11,What is the Black-Litterman model and what problem does it solve?,2505.02185v1_c0,Latent Variable Estimation in Bayesian Black-Litterman Models,q-fin.PM,"Title: Latent Variable Estimation in Bayesian Black-Litterman Models  Abstract: We revisit the Bayesian Black-Litterman (BL) portfolio model and remove its reliance on subjective investor views. Classical BL requires an investor ""view"": a forecast vector $q$ and its uncertainty matrix $Ω$ that descr",1
11,What is the Black-Litterman model and what problem does it solve?,2508.20672v1_c0,Agent-based model of information diffusion in the limit order book trading,q-fin.CP,"Title: Agent-based model of information diffusion in the limit order book trading  Abstract: There are multiple explanations for stylized facts in high-frequency trading, including adaptive and informed agents, many of which have been studied through agent-based models. This paper investigates an al",0
11,What is the Black-Litterman model and what problem does it solve?,2509.23557v1_c0,SIMPOL Model for Solving Continuous-Time Heterogeneous Agent Problems,q-fin.CP,"Title: SIMPOL Model for Solving Continuous-Time Heterogeneous Agent Problems  Abstract: This paper presents SIMPOL (Simplified Policy Iteration), a modular numerical framework for solving continuous-time heterogeneous agent models. The core economic problem, the optimization of consumption and savin",0
11,What is the Black-Litterman model and what problem does it solve?,2510.01814v1_c0,Mean-field theory of the Santa Fe model revisited: a systematic derivation from an exact BBGKY hierarchy for the zero-intelligence limit-order book model,q-fin.TR,Title: Mean-field theory of the Santa Fe model revisited: a systematic derivation from an exact BBGKY hierarchy for the zero-intelligence limit-order book model  Abstract: The Santa Fe model is an established econophysics model for describing stochastic dynamics of the limit order book from the view,0
11,What is the Black-Litterman model and what problem does it solve?,2510.15911v2_c0,The Sleeping Beauty Problem: Sleeping Kelly is a Thirder,q-fin.GN,"Title: The Sleeping Beauty Problem: Sleeping Kelly is a Thirder  Abstract: The Sleeping Beauty problem is a problem of imperfect recall that has received considerable attention. One approach to solving the Sleeping Beauty problem is to allow Sleeping Beauty to make decisions based on her beliefs, an",0
11,What is the Black-Litterman model and what problem does it solve?,2510.27277v2_c0,"Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis",q-fin.PR,"Title: Black-Scholes Model, comparison between Analytical Solution and Numerical Analysis  Abstract: The main purpose of this article is to give a general overview and understanding of the first widely used option-pricing model, the Black-Scholes model. The history and context are presented, with th",0
11,What is the Black-Litterman model and what problem does it solve?,2511.08591v1_c0,An Empirical Assessment of the Accounting Semi-Identity Problem's Pervasiveness and Severity,q-fin.GN,"Title: An Empirical Assessment of the Accounting Semi-Identity Problem's Pervasiveness and Severity  Abstract: This paper investigates a fundamental methodological flaw in the investment-cash flow sensitivity model of Fazzari, Hubbard, and Petersen (1988). The model comes from a full accounting iden",0
11,What is the Black-Litterman model and what problem does it solve?,2511.13568v3_c0,Infinite-Horizon Optimal Control of Jump-Diffusion Models for Pollution-Dependent Disasters,math.OC,"Title: Infinite-Horizon Optimal Control of Jump-Diffusion Models for Pollution-Dependent Disasters  Abstract: This paper is devoted to developing a unified framework for stochastic growth models with environmental risk, in which rare but catastrophic shocks interact with capital accumulation and pol",0
11,What is the Black-Litterman model and what problem does it solve?,2511.21850v1_c0,Black-Litterman and ESG Portfolio Optimization,q-fin.PM,Title: Black-Litterman and ESG Portfolio Optimization  Abstract: We introduce a simple portfolio optimization strategy using ESG data with the Black-Litterman allocation framework. ESG scores are used as a bias for Stein shrinkage estimation of equilibrium risk premiums used in assigning Black-Litte,1
11,What is the Black-Litterman model and what problem does it solve?,2512.24491v1_c0,Minimal Solutions to the Skorokhod Reflection Problem Driven by Jump Processes and an Application to Reinsurance,math.PR,"Title: Minimal Solutions to the Skorokhod Reflection Problem Driven by Jump Processes and an Application to Reinsurance  Abstract: We consider a reflected process in the positive orthant driven by an exogenous jump process. For a given input process, we show that there exists a unique minimal strong",0
11,What is the Black-Litterman model and what problem does it solve?,2601.11348v1_c0,Optimal Abatement Schedules for Excess Carbon Emissions Towards a Net-Zero Target,math.OC,"Title: Optimal Abatement Schedules for Excess Carbon Emissions Towards a Net-Zero Target  Abstract: Achieving net-zero carbon emissions requires a transformation of energy systems, industrial processes, and consumption patterns. In particular, a transition towards that goal involves a gradual reduct",0
11,What is the Black-Litterman model and what problem does it solve?,2602.03776v1_c0,DiffLOB: Diffusion Models for Counterfactual Generation in Limit Order Books,q-fin.CP,"Title: DiffLOB: Diffusion Models for Counterfactual Generation in Limit Order Books  Abstract: Modern generative models for limit order books (LOBs) can reproduce realistic market dynamics, but remain fundamentally passive: they either model what typically happens without accounting for hypothetical",0
11,What is the Black-Litterman model and what problem does it solve?,2604.10005v2_c0,"What Happens When Institutional Liquidity Enters Prediction Markets: Identification, Measurement, and a Synthetic Proof of Concept",cs.CE,"Title: What Happens When Institutional Liquidity Enters Prediction Markets: Identification, Measurement, and a Synthetic Proof of Concept  Abstract: Prediction markets are starting to look less like crowd polls and more like electronic markets. The central question is therefore no longer only whethe",0
11,What is the Black-Litterman model and what problem does it solve?,2604.10758v3_c0,Investing Is Compression,cs.CE,Title: Investing Is Compression  Abstract: In 1956 John Kelly wrote a paper at Bell Labs describing the relationship between gambling and Information Theory. What came to be known as the Kelly Criterion is both an objective and a closed-form solution to sizing wagers when odds and edge are known. Sa,0
11,What is the Black-Litterman model and what problem does it solve?,2604.18118v2_c0,Contagion or Macroeconomic Fluctuations? Identifiability in Aggregated Default Data,q-fin.RM,"Title: Contagion or Macroeconomic Fluctuations? Identifiability in Aggregated Default Data

Abstract",0
11,What is the Black-Litterman model and what problem does it solve?,2605.10447v1_c0,Statistical Model Checking of the Keynes+Schumpeter Model: A Transient Sensitivity Analysis of a Macroeconomic ABM,cs.MA,Title: Statistical Model Checking of the Keynes+Schumpeter Model: A Transient Sensitivity Analysis o,0
12,How do robust portfolio optimization methods handle parameter uncertainty?,2506.19294v3_c0,Duality and Policy Evaluation in Distributionally Robust Bayesian Diffusion Control,math.OC,Title: Duality and Policy Evaluation in Distributionally Robust Bayesian Diffusion Control  Abstract: We study diffusion control problems under parameter uncertainty. Controllers based on plug-in estimation can be brittle due to potential distribution shifts. Bayesian control with a prior on the par,1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2509.00447v1_c0,Robust MCVaR Portfolio Optimization with Ellipsoidal Support and Reproducing Kernel Hilbert Space-based Uncertainty,q-fin.PM,"Title: Robust MCVaR Portfolio Optimization with Ellipsoidal Support and Reproducing Kernel Hilbert Space-based Uncertainty  Abstract: This study introduces a portfolio optimization framework to minimize mixed conditional value at risk (MCVaR), incorporating a chance constraint on expected returns an",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2509.23128v1_c0,"Conditional Risk Minimization with Side Information: A Tractable, Universal Optimal Transport Framework",stat.ML,"Title: Conditional Risk Minimization with Side Information: A Tractable, Universal Optimal Transport Framework  Abstract: Conditional risk minimization arises in high-stakes decisions where risk must be assessed in light of side information, such as stressed economic conditions, specific customer pr",0
12,How do robust portfolio optimization methods handle parameter uncertainty?,2510.06986v2_c0,Inverse Portfolio Optimization with Synthetic Investor Data: Recovering Risk Preferences under Uncertainty,q-fin.GN,"Title: Inverse Portfolio Optimization with Synthetic Investor Data: Recovering Risk Preferences under Uncertainty  Abstract: This study develops an inverse portfolio optimization framework for recovering latent investor preferences including risk aversion, transaction cost sensitivity, and ESG orien",0
12,How do robust portfolio optimization methods handle parameter uncertainty?,2510.07180v1_c0,Bayesian Portfolio Optimization by Predictive Synthesis,econ.EM,"Title: Bayesian Portfolio Optimization by Predictive Synthesis  Abstract: Portfolio optimization is a critical task in investment. Most existing portfolio optimization methods require information on the distribution of returns of the assets that make up the portfolio. However, such distribution info",0
12,How do robust portfolio optimization methods handle parameter uncertainty?,2510.12725v1_c0,(Non-Parametric) Bootstrap Robust Optimization for Portfolios and Trading Strategies,q-fin.ST,"Title: (Non-Parametric) Bootstrap Robust Optimization for Portfolios and Trading Strategies  Abstract: Robust optimization provides a principled framework for decision-making under uncertainty, with broad applications in finance, engineering, and operations research. In portfolio optimization, uncer",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2510.15288v1_c0,Portfolio Optimization of Indonesian Banking Stocks Using Robust Optimization,q-fin.PM,"Title: Portfolio Optimization of Indonesian Banking Stocks Using Robust Optimization  Abstract: Since the COVID-19 pandemic, the number of investors in the Indonesia Stock Exchange has steadily increased, emphasizing the importance of portfolio optimization in balancing risk and return. The classica",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2511.08662v1_c0,Robust distortion risk metrics and portfolio optimization,q-fin.RM,"Title: Robust distortion risk metrics and portfolio optimization  Abstract: We establish sharp upper and lower bounds for distortion risk metrics under distributional uncertainty. The uncertainty sets are characterized by four key features of the underlying distribution: mean, variance, unimodality,",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2511.13334v1_c0,Basis Immunity: Isotropy as a Regularizer for Uncertainty,q-fin.PM,"Title: Basis Immunity: Isotropy as a Regularizer for Uncertainty  Abstract: Diversification is a cornerstone of robust portfolio construction, yet its application remains fraught with challenges due to model uncertainty and estimation errors. Practitioners often rely on sophisticated, proprietary he",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2512.01408v1_c0,Bayesian Distributionally Robust Merton Problem with Nonlinear Wasserstein Projections,math.OC,"Title: Bayesian Distributionally Robust Merton Problem with Nonlinear Wasserstein Projections  Abstract: We revisit Merton's continuous-time portfolio selection through a data-driven, distributionally robust lens. Our aim is to tap the benefits of frequent trading over short horizons while acknowled",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2603.08552v1_c0,Nonconcave Portfolio Choice under Smooth Ambiguity,q-fin.PM,"Title: Nonconcave Portfolio Choice under Smooth Ambiguity  Abstract: We study continuous-time portfolio choice with nonlinear payoffs under smooth ambiguity and Bayesian learning. We develop a general framework for dynamic, non-concave asset allocation that accommodates nonlinear payoffs, broad util",1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2604.02126v1_c0,Hedging market risk and uncertainty via a robust portfolio approach,q-fin.RM,Title: Hedging market risk and uncertainty via a robust portfolio approach  Abstract: Shorting for hedging exposes to risk when the market dynamics is uncertain. Managing uncertainty and risk exposure is key in portfolio management practice. This paper develops a robust framework for dynamic minimum,1
12,How do robust portfolio optimization methods handle parameter uncertainty?,2604.04649v1_c0,$α$-robust utility maximization with intractable claims: A quantile optimization approach,q-fin.PM,Title: $α$-robust utility maximization with intractable claims: A quantile optimization approach  Abstract: This paper studies an $α$-robust utility maximization problem where an investor faces an intractable claim -- an exogenous contingent claim with known marginal distribution but unspecified dep,0
12,How do robust portfolio optimization methods handle parameter uncertainty?,2605.06220v1_c0,Numerical methods for lambda quantiles: robust evaluation and portfolio optimisation,q-fin.CP,"Title: Numerical methods for lambda quantiles: robust evaluation and portfolio optimisation  Abstract: Lambda quantiles, originally introduced as lambda value at risk, generalise the classical value at risk by allowing for a variable confidence level. This work presents efficient algorithms for comp",0
13,How are reinforcement learning agents used to allocate portfolios?,2504.16093v1_c0,Efficient Portfolio Selection through Preference Aggregation with Quicksort and the Bradley--Terry Model,q-fin.PM,"Title: Efficient Portfolio Selection through Preference Aggregation with Quicksort and the Bradley--Terry Model  Abstract: How to allocate limited resources to projects that will yield the greatest long-term benefits is a problem that often arises in decision-making under uncertainty. For example, o",0
13,How are reinforcement learning agents used to allocate portfolios?,2506.06653v1_c0,Explaining Risks: Axiomatic Risk Attributions for Financial Models,q-fin.CP,"Title: Explaining Risks: Axiomatic Risk Attributions for Financial Models  Abstract: In recent years, machine learning models have achieved great success at the expense of highly complex black-box structures. By using axiomatic attribution methods, we can fairly allocate the contributions of each fe",0
13,How are reinforcement learning agents used to allocate portfolios?,2507.01972v1_c0,Accelerated Portfolio Optimization and Option Pricing with Reinforcement Learning,q-fin.PM,Title: Accelerated Portfolio Optimization and Option Pricing with Reinforcement Learning  Abstract: We present a reinforcement learning (RL)-driven framework for optimizing block-preconditioner sizes in iterative solvers used in portfolio optimization and option pricing. The covariance matrix in por,1
13,How are reinforcement learning agents used to allocate portfolios?,2507.18560v1_c0,HARLF: Hierarchical Reinforcement Learning and Lightweight LLM-Driven Sentiment Integration for Financial Portfolio Optimization,q-fin.PM,"Title: HARLF: Hierarchical Reinforcement Learning and Lightweight LLM-Driven Sentiment Integration for Financial Portfolio Optimization  Abstract: This paper presents a novel hierarchical framework for portfolio optimization, integrating lightweight Large Language Models (LLMs) with Deep Reinforceme",1
13,How are reinforcement learning agents used to allocate portfolios?,2509.12456v2_c0,Reinforcement Learning-Based Market Making as a Stochastic Control on Non-Stationary Limit Order Book Dynamics,q-fin.TR,"Title: Reinforcement Learning-Based Market Making as a Stochastic Control on Non-Stationary Limit Order Book Dynamics  Abstract: Reinforcement Learning has emerged as a promising framework for developing adaptive and data-driven strategies, enabling market makers to optimize decision-making policies",0
13,How are reinforcement learning agents used to allocate portfolios?,2509.14385v1_c0,Adaptive and Regime-Aware RL for Portfolio Optimization,q-fin.PM,"Title: Adaptive and Regime-Aware RL for Portfolio Optimization  Abstract: This study proposes a regime-aware reinforcement learning framework for long-horizon portfolio optimization. Moving beyond traditional feedforward and GARCH-based models, we design realistic environments where agents dynamical",1
13,How are reinforcement learning agents used to allocate portfolios?,2510.19271v1_c0,Tailoring Portfolio Choice via Quantile-Targeted Policies,q-fin.GN,"Title: Tailoring Portfolio Choice via Quantile-Targeted Policies  Abstract: We study the dynamic investment decisions of investors who prioritise specific quantiles of outcomes over their expected values. Downside-focused agents targeting low quantiles reduce risk in states with high variance, while",0
13,How are reinforcement learning agents used to allocate portfolios?,2510.21147v1_c0,Hierarchical AI Multi-Agent Fundamental Investing: Evidence from China's A-Share Market,q-fin.PM,"Title: Hierarchical AI Multi-Agent Fundamental Investing: Evidence from China's A-Share Market  Abstract: We present a multi-agent, AI-driven framework for fundamental investing that integrates macro indicators, industry-level and firm-specific information to construct optimized equity portfolios. T",1
13,How are reinforcement learning agents used to allocate portfolios?,2510.27334v1_c0,When AI Trading Agents Compete: Adverse Selection of Meta-Orders by Reinforcement Learning-Based Market Making,q-fin.TR,Title: When AI Trading Agents Compete: Adverse Selection of Meta-Orders by Reinforcement Learning-Based Market Making  Abstract: We investigate the mechanisms by which medium-frequency trading agents are adversely selected by opportunistic high-frequency traders. We use reinforcement learning (RL) w,0
13,How are reinforcement learning agents used to allocate portfolios?,2511.02136v1_c0,JaxMARL-HFT: GPU-Accelerated Large-Scale Multi-Agent Reinforcement Learning for High-Frequency Trading,q-fin.TR,"Title: JaxMARL-HFT: GPU-Accelerated Large-Scale Multi-Agent Reinforcement Learning for High-Frequency Trading  Abstract: Agent-based modelling (ABM) approaches for high-frequency financial markets are difficult to calibrate and validate, partly due to the large parameter space created by defining fi",0
13,How are reinforcement learning agents used to allocate portfolios?,2511.18076v1_c0,Reinforcement Learning for Portfolio Optimization with a Financial Goal and Defined Time Horizons,q-fin.PM,"Title: Reinforcement Learning for Portfolio Optimization with a Financial Goal and Defined Time Horizons  Abstract: This research proposes an enhancement to the innovative portfolio optimization approach using the G-Learning algorithm, combined with parametric optimization via the GIRL algorithm (G-",1
13,How are reinforcement learning agents used to allocate portfolios?,2511.20678v1_c0,Cryptocurrency Portfolio Management with Reinforcement Learning: Soft Actor--Critic and Deep Deterministic Policy Gradient Algorithms,q-fin.CP,Title: Cryptocurrency Portfolio Management with Reinforcement Learning: Soft Actor--Critic and Deep Deterministic Policy Gradient Algorithms  Abstract: This paper proposes a reinforcement learning--based framework for cryptocurrency portfolio management using the Soft Actor--Critic (SAC) and Deep De,1
